City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,mount pearl,47.5166,-52.7813,4.52,97,100,2.57,CA,1713783853
154,hammerfest,70.6634,23.6821,-2.75,59,0,5.66,NO,1713783853
155,savyntsi,49.4026,37.0627,16.8,36,14,5.24,UA,1713783853
156,qaqortoq,60.7167,-46.0333,-0.54,91,99,1.83,GL,1713783853
157,nuuk,64.1835,-51.7216,3.34,65,75,11.83,GL,1713783768
158,ribeira grande,38.5167,-28.7,17.22,72,75,4.02,PT,1713783854
159,chinsali,-10.5414,32.0816,25.23,62,59,2.3,ZM,1713783854
160,tabou,4.423,-7.3528,30.74,67,96,1.7,CI,1713783854
161,dudinka,69.4058,86.1778,-13.51,88,90,0.89,RU,1713783855
162,tazovsky,67.4667,78.7,-10.92,90,100,3.53,RU,1713783855
163,vorgashor,67.5833,63.95,-10.11,87,100,5.71,RU,1713783855
164,haiku-pauwela,20.9219,-156.3051,21.13,89,75,5.66,US,1713783855
165,hamilton,39.1834,-84.5333,3.21,88,0,0.89,US,1713783856
166,choibalsan,48.0667,114.5,8.56,41,100,4.24,MN,1713783620
167,pariaman,-0.619,100.12,30.03,85,89,1.73,ID,1713783856
168,afaahiti,-17.75,-149.2833,24.48,85,87,5.58,PF,1713783857
169,gostovici,44.415,18.1583,12.27,48,52,2.18,BA,1713783859
170,kirakira,-10.4544,161.9205,27.61,85,94,1.03,SB,1713783862
171,broken hill,-31.95,141.4333,18.8,27,0,3.03,AU,1713783608
172,hajiganj,23.2511,90.8592,36.6,38,66,6.75,BD,1713783867
173,badger,64.8,-147.5333,1.74,72,69,0.64,US,1713783778
174,cherdyn',60.403,56.4787,7.99,50,47,4.05,RU,1713783876
175,toliara,-23.35,43.6667,29.23,49,0,6.53,MG,1713783877
176,jwaneng,-24.6004,24.7303,30.75,19,1,5.09,BW,1713783878
177,lata,40.1629,-8.3327,22.26,31,26,3.84,PT,1713783878
178,ust-nera,64.5667,143.2,-6.64,98,74,1.76,RU,1713783762
179,saint augustine beach,29.8505,-81.2654,15.59,88,100,4.12,US,1713783879
180,arboga,59.3939,15.8388,1.19,44,99,4.72,SE,1713783879
181,khilok,51.3674,110.4676,4.68,55,82,3.82,RU,1713783880
182,shahabad,27.65,79.95,39.43,11,1,5.46,IN,1713783880
183,agacoren,38.8748,33.9167,19.27,25,40,5.56,TR,1713783882
184,xifeng,42.7372,124.7222,19.38,44,44,4.73,CN,1713783885
185,ust'-ilimsk,58.0006,102.6619,5.24,66,100,3.58,RU,1713783888
186,thai nguyen,21.5928,105.8442,27.88,74,77,2.12,VN,1713783545
187,muynoq,43.7683,59.0214,26.72,26,12,6.58,UZ,1713783895
188,kerikeri,-35.2268,173.9474,11.62,89,2,2.18,NZ,1713783661
189,morehead city,34.7229,-76.726,12.0,82,100,7.72,US,1713783898
190,wewak,-3.5534,143.6268,27.9,76,89,3.23,PG,1713783901
191,kapuskasing,49.4169,-82.4331,-7.55,73,99,2.09,CA,1713783904
192,kendari,-3.945,122.4989,25.86,91,100,1.4,ID,1713783906
193,international falls,48.6011,-93.411,3.35,53,0,0.89,US,1713783908
194,katsuren-haebaru,26.3369,127.8719,27.43,94,75,5.14,JP,1713783859
195,aasiaat,68.7098,-52.8699,0.45,89,100,3.89,GL,1713783909
196,puerto deseado,-47.7503,-65.8938,6.46,66,0,6.15,AR,1713783909
